iin_start,iin_end,number_length,number_luhn,scheme,brand,type,prepaid,country,bank_name,bank_logo,bank_url,bank_phone,bank_city
341142,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
342562,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
360218,,,,diners,Diners Club International,credit,,EC,DINERS CLUB DEL ECUADOR S.A.,,www.dinersclub.com.ec,+593 2 297 3100,Quito
360324,,,,diners,Diners Club International,credit,,CO,Banco Davivienda S.A.,,www.davivienda.com,+57 1 3383838,Bogota D.C.
361766,,,,diners,Diners Club,credit,,CZ,DINERS CLUB INTERNATIONAL CS,,www.dinersclub.cz,+420 255 712 712,PRAGUE
370245,,,,amex,American Express,credit,,VE,BANESCO BANCO UNIVERSAL S.A.,,www.banesco.com,+58 212 501 11 11,CARACAS
370266,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8662077970,
371240,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371241,371242,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
371270,,,,amex,,credit,,US,DELTA SKYMILES,,www.americanexpress.com,8002976200,
371312,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8882461076,
371318,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
371331,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8663911424,
371340,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8882461076,
371348,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8008245895,
371380,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371389,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371403,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,6663,
371512,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
371515,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8882461076,
371525,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8882583741,
371530,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004923344,
371537,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8006531693,
371538,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004923344,
371543,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8772583254,
371549,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005216121,
371553,371554,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004928468,
371556,371557,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004923344,
371559,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
371560,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8778770987,
371566,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8778770987,
371567,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8003272177,
371571,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8003272177,
371576,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
371700,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371701,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
371702,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371704,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371706,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
371708,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
371725,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371726,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8003272177,
371727,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371736,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
371737,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005216121,
371741,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005282121,
371746,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002971000,
371754,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
371758,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8778770987,
371782,,,,amex,,credit,,GB,AMERICAN EXPRESS,,www.americanexpress.com,441273696933,
371826,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
371867,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
372077,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
372170,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
372312,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002570770,
372321,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8009260143,
372341,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8882583741,
372342,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
372358,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002971000,
372379,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8882461076,
372392,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8882461076,
372395,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8009648542,
372397,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8882461076,
372408,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
372448,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
372523,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002570770,
372525,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,4458664466677,
372527,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002570770,
372528,372529,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002971000,
372532,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004231414,
372533,372534,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002570770,
372557,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002570770,
372559,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
372583,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002570770,
372584,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002971000,
372588,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002971000,
372589,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8002570770,
372658,,,,amex,,credit,,PR,AMERICAN EXPRESS,,www.americanexpress.com,1,
372684,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8003271267,
372715,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004923344,
372720,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004928468,
372725,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
372738,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8887088128,
372741,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8009540559,
372760,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8003272177,
372794,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
372813,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005253355,
372816,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8003272177,
372837,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8003272177,
372878,,,,amex,,credit,,US,AMEX,,www.americanexpress.com,8005284800,
372890,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8003272177,
372898,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
373039,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
373128,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,2126401505,
373137,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
373190,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
373216,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
373278,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004928468,
373320,,,,amex,,credit,,CA,AMERICAN EXPRESS,,www.americanexpress.com,8887211046,
373391,,,,amex,,credit,,CA,AMERICAN EXPRESS,,www.americanexpress.com,9054740870,
373394,,,,amex,,credit,,CA,AMERICAN EXPRESS,,www.americanexpress.com,8888112323,
373470,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8005284800,
373497,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8006355955,
373498,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
373728,,,,amex,,credit,,US,AMERICANEXPRESS,,www.americanexpress.com,8005284800,
373735,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8006355955,
373737,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,8004231414,
374188,,,,amex,,credit,,BE,AMERICAN EXPRESS,,www.americanexpress.com,3226762888,
374322,,,,amex,,credit,,US,BANK OF AMERICA,,www.americanexpress.com,8009006651,
374350,,,,amex,,credit,,US,CITIBANK,,www.americanexpress.com,8664492484,
374355,,,,amex,,credit,,US,USAA,,www.americanexpress.com,8005318722,
374391,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
374424,,,,amex,,credit,,TR,GARANTI,,www.americanexpress.com,80818,
374614,,,,amex,,credit,,GB,AMERICAN EXPRESS,,www.americanexpress.com,441273696933,
374629,,,,amex,,credit,,US,AMERICAN EXPRESS,,www.americanexpress.com,,
374632,,,,amex,,credit,,US,BANK OF AMERICA,,www.americanexpress.com,8009006651,
374716,,,,amex,,credit,,US,FIDELITY,,www.americanexpress.com,8778117088,
374720,,,,amex,,credit,,US,BANK OF AMERICA,,www.americanexpress.com,8047883061,
375001,,,,amex,,credit,,DE,AMERICAN EXPRESS,,www.americanexpress.com,496997971000,
375080,,,,amex,,credit,,DE,AMERICAN EXPRESS,,www.americanexpress.com,06997972000,
375081,,,,amex,,credit,,DE,AMERICAN EXPRESS,,www.americanexpress.com,496997972000,
375135,,,,amex,,credit,,BR,BRADESCO,,www.americanexpress.com,,
375138,,,,amex,,credit,,BR,BRADESCO,,www.americanexpress.com,,
375415,,,,amex,,credit,,AU,COMMONWEALTH,,www.americanexpress.com,61299993283,
375417,,,,amex,,credit,,NO,AMERICAN EXPRESS,,www.americanexpress.com,4766984370,
375699,,,,amex,,credit,,ES,BANCO SABADELL,,www.americanexpress.com,,
376013,,,,amex,,credit,,GB,AMERICAN EXPRESS,,www.americanexpress.com,441273696933,
376014,,,,amex,,credit,,GB,AMERICAN EXPRESS,,www.americanexpress.com,08456042638,
376064,,,,amex,,credit,,AU,AMERICAN EXPRESS,,www.americanexpress.com,1800059388,
376066,,,,amex,,credit,,AU,AMERICAN EXPRESS,,www.americanexpress.com,61292714498,
376073,376074,,,amex,,credit,,AU,AMERICAN EXPRESS,,www.americanexpress.com,61,
376212,,,,amex,,credit,,SG,AMERICAN EXPRESS,,www.americanexpress.com,6563966888,
376402,,,,amex,,credit,,AR,,,www.americanexpress.com,,
376418,,,,amex,,credit,,AR,AMERICAN EXPRESS,,www.americanexpress.com,08004442450,
376437,,,,amex,,credit,,BR,AMERICANEXPRESS,,www.americanexpress.com,553421026266,
